"User_input","STRINGdb ID","Species"
"Q4CQI0","XP_804383.1","Trypanosoma cruzi STRINGdb"
"Q4CQK3","XP_804406.1","Trypanosoma cruzi STRINGdb"
"Q4CQK4","XP_804407.1","Trypanosoma cruzi STRINGdb"
"Q4CQK5","XP_804408.1","Trypanosoma cruzi STRINGdb"
"Q4CQL1","XP_804414.1","Trypanosoma cruzi STRINGdb"
"Q4CQL3","XP_804415.1","Trypanosoma cruzi STRINGdb"
"Q4CQL4","XP_804417.1","Trypanosoma cruzi STRINGdb"
"Q4CQM8","XP_804431.1","Trypanosoma cruzi STRINGdb"
"Q4CQN0","XP_804433.1","Trypanosoma cruzi STRINGdb"
"Q4CQN1","XP_804434.1","Trypanosoma cruzi STRINGdb"
"Q4CQN2","XP_804435.1","Trypanosoma cruzi STRINGdb"
"Q4CQP6","XP_804449.1","Trypanosoma cruzi STRINGdb"
"Q4CQP9","XP_804452.1","Trypanosoma cruzi STRINGdb"
"Q4CQQ0","XP_804453.1","Trypanosoma cruzi STRINGdb"
"Q4CQQ8","XP_804461.1","Trypanosoma cruzi STRINGdb"
"Q4CQR8","XP_804471.1","Trypanosoma cruzi STRINGdb"
"Q4CQS4","XP_804477.1","Trypanosoma cruzi STRINGdb"
"Q4CQT2","XP_804485.1","Trypanosoma cruzi STRINGdb"
"Q4CQT3","XP_804486.1","Trypanosoma cruzi STRINGdb"
"Q4CQT4","XP_804487.1","Trypanosoma cruzi STRINGdb"
"Q4CQU8","XP_804501.1","Trypanosoma cruzi STRINGdb"
"Q4CQV3","XP_804506.1","Trypanosoma cruzi STRINGdb"
"Q4CQV8","XP_804511.1","Trypanosoma cruzi STRINGdb"
"Q4CQV9","XP_804512.1","Trypanosoma cruzi STRINGdb"
"Q4CQW0","XP_804513.1","Trypanosoma cruzi STRINGdb"
"Q4CQW9","XP_804522.1","Trypanosoma cruzi STRINGdb"
"Q4CQX0","XP_804523.1","Trypanosoma cruzi STRINGdb"
"Q4CQX4","XP_804527.1","Trypanosoma cruzi STRINGdb"
"Q4CQX8","XP_804531.1","Trypanosoma cruzi STRINGdb"
"Q4CQX9","XP_804532.1","Trypanosoma cruzi STRINGdb"
"Q4CQY9","XP_804542.1","Trypanosoma cruzi STRINGdb"
"Q4CQZ9","XP_804551.1","Trypanosoma cruzi STRINGdb"
"Q4CR08","XP_804562.1","Trypanosoma cruzi STRINGdb"
"Q4CR09","XP_804561.1","Trypanosoma cruzi STRINGdb"
"Q4CR14","XP_804567.1","Trypanosoma cruzi STRINGdb"
"Q4CR16","XP_804570.1","Trypanosoma cruzi STRINGdb"
"Q4CR17","XP_804569.1","Trypanosoma cruzi STRINGdb"
"Q4CR22","XP_804575.1","Trypanosoma cruzi STRINGdb"
"Q4CR26","XP_804579.1","Trypanosoma cruzi STRINGdb"
"Q4CR39","XP_804595.1","Trypanosoma cruzi STRINGdb"
"Q4CR41","XP_804593.1","Trypanosoma cruzi STRINGdb"
"Q4CR42","XP_804592.1","Trypanosoma cruzi STRINGdb"
"Q4CR43","XP_804596.1","Trypanosoma cruzi STRINGdb"
"Q4CR54","XP_804609.1","Trypanosoma cruzi STRINGdb"
"Q4CR55","XP_804608.1","Trypanosoma cruzi STRINGdb"
"Q4CR56","XP_804607.1","Trypanosoma cruzi STRINGdb"
"Q4CR58","XP_804611.1","Trypanosoma cruzi STRINGdb"
"Q4CR79","XP_804632.1","Trypanosoma cruzi STRINGdb"
"Q4CRC1","XP_804674.1","Trypanosoma cruzi STRINGdb"
"Q4CRD6","XP_804689.1","Trypanosoma cruzi STRINGdb"
"Q4CRD7","XP_804690.1","Trypanosoma cruzi STRINGdb"
"Q4CRD8","XP_804691.1","Trypanosoma cruzi STRINGdb"
"Q4CRE6","XP_804699.1","Trypanosoma cruzi STRINGdb"
"Q4CRE7","XP_804700.1","Trypanosoma cruzi STRINGdb"
"Q4CRJ1","XP_804743.1","Trypanosoma cruzi STRINGdb"
"Q4CRJ5","XP_804748.1","Trypanosoma cruzi STRINGdb"
"Q4CRM1","XP_804775.1","Trypanosoma cruzi STRINGdb"
"Q4CRM2","XP_804774.1","Trypanosoma cruzi STRINGdb"
"Q4CRP3","XP_804798.1","Trypanosoma cruzi STRINGdb"
"Q4CRP4","XP_804797.1","Trypanosoma cruzi STRINGdb"
"Q4CRP6","XP_804799.1","Trypanosoma cruzi STRINGdb"
"Q4CRQ7","XP_804811.1","Trypanosoma cruzi STRINGdb"
"Q4CRQ8","XP_804810.1","Trypanosoma cruzi STRINGdb"
"Q4CRQ9","XP_804812.1","Trypanosoma cruzi STRINGdb"
"Q4CRR3","XP_804817.1","Trypanosoma cruzi STRINGdb"
"Q4CRR4","XP_804816.1","Trypanosoma cruzi STRINGdb"
"Q4CRT4","XP_804839.1","Trypanosoma cruzi STRINGdb"
"Q4CRT5","XP_804838.1","Trypanosoma cruzi STRINGdb"
"Q4CRT6","XP_804837.1","Trypanosoma cruzi STRINGdb"
"Q4CRT7","XP_804840.1","Trypanosoma cruzi STRINGdb"
"Q4CRW2","XP_804865.1","Trypanosoma cruzi STRINGdb"
"Q4CRZ1","XP_804894.1","Trypanosoma cruzi STRINGdb"
"Q4CRZ2","XP_804895.1","Trypanosoma cruzi STRINGdb"
"Q4CS12","XP_804915.1","Trypanosoma cruzi STRINGdb"
"Q4CS29","XP_804933.1","Trypanosoma cruzi STRINGdb"
"Q4CS30","XP_804932.1","Trypanosoma cruzi STRINGdb"
"Q4CS51","XP_804956.1","Trypanosoma cruzi STRINGdb"
"Q4CS52","XP_804955.1","Trypanosoma cruzi STRINGdb"
"Q4CS53","XP_804954.1","Trypanosoma cruzi STRINGdb"
"Q4CSB2","XP_805016.1","Trypanosoma cruzi STRINGdb"
"Q4CSF3","XP_805058.1","Trypanosoma cruzi STRINGdb"
"Q4CSF4","XP_805057.1","Trypanosoma cruzi STRINGdb"
