"User_input","STRINGdb ID","Species"
"Q4CPD4","Q4CPD4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPE5","Q4CPE5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPE9","Q4CPE9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPF0","Q4CPF0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPF1","Q4CPF1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPF9","Q4CPF9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPG8","Q4CPG8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPG9","Q4CPG9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPH0","Q4CPH0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPH1","Q4CPH1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPI0","Q4CPI0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPI1","Q4CPI1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPI2","Q4CPI2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPI3","Q4CPI3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPI4","Q4CPI4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPI5","Q4CPI5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPJ0","Q4CPJ0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPJ1","Q4CPJ1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPL4","Q4CPL4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPL5","Q4CPL5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPL7","Q4CPL7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPM2","Q4CPM2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPM3","Q4CPM3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPN3","Q4CPN3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPN4","Q4CPN4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPN5","Q4CPN5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP2","Q4CPP2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP3","Q4CPP3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP4","Q4CPP4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP5","Q4CPP5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP6","Q4CPP6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP7","Q4CPP7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPP8","Q4CPP8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPQ8","Q4CPQ8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPS2","Q4CPS2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPT9","Q4CPT9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPU0","Q4CPU0","Trypanosoma cruzi strain CL Brener STRINGdb"
